max_walking_distance,100
trial_number,sim_iter_0,sim_iter_1,sim_iter_2,sim_iter_3,sim_iter_4,sim_iter_5,sim_iter_6,sim_iter_7,sim_iter_8,sim_iter_9,sim_iter_10,sim_iter_11,sim_iter_12,sim_iter_13,sim_iter_14,sim_iter_15,sim_iter_16,sim_iter_17,sim_iter_18,sim_iter_19,sim_iter_20,sim_iter_21,sim_iter_22,sim_iter_23,sim_iter_24,sim_iter_25,sim_iter_26,sim_iter_27,sim_iter_28,sim_iter_29,sim_iter_30,sim_iter_31,sim_iter_32,sim_iter_33,sim_iter_34,sim_iter_35,sim_iter_36,sim_iter_37,sim_iter_38,sim_iter_39,sim_iter_40,sim_iter_41,sim_iter_42,sim_iter_43,sim_iter_44,sim_iter_45,sim_iter_46,sim_iter_47,sim_iter_48,sim_iter_49,sim_iter_50,hap_iter_0,hap_iter_1,hap_iter_2,hap_iter_3,hap_iter_4,hap_iter_5,hap_iter_6,hap_iter_7,hap_iter_8,hap_iter_9,hap_iter_10,hap_iter_11,hap_iter_12,hap_iter_13,hap_iter_14,hap_iter_15,hap_iter_16,hap_iter_17,hap_iter_18,hap_iter_19,hap_iter_20,hap_iter_21,hap_iter_22,hap_iter_23,hap_iter_24,hap_iter_25,hap_iter_26,hap_iter_27,hap_iter_28,hap_iter_29,hap_iter_30,hap_iter_31,hap_iter_32,hap_iter_33,hap_iter_34,hap_iter_35,hap_iter_36,hap_iter_37,hap_iter_38,hap_iter_39,hap_iter_40,hap_iter_41,hap_iter_42,hap_iter_43,hap_iter_44,hap_iter_45,hap_iter_46,hap_iter_47,hap_iter_48,hap_iter_49,hap_iter_50
0,0.49624338624338626,0.5014285714285714,0.5055555555555555,0.5183068783068783,0.5503174603174603,0.5706878306878308,0.5892063492063492,0.6084656084656084,0.6305820105820105,0.6413227513227512,0.6649735449735449,0.6877777777777777,0.7069312169312169,0.7111375661375661,0.7296825396825397,0.7442328042328044,0.7502116402116403,0.7720634920634921,0.7965343915343917,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.8213492063492064,0.7111111111111111,0.7333333333333333,0.7555555555555555,0.7777777777777778,0.8444444444444444,0.8666666666666667,0.9111111111111111,0.8888888888888888,0.9111111111111111,0.9555555555555556,0.9777777777777777,0.9555555555555556,0.9777777777777777,0.9777777777777777,0.9777777777777777,0.9555555555555556,0.9333333333333333,0.9555555555555556,0.9777777777777777,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.5064182194616977,0.5209109730848862,0.5429606625258799,0.5606107660455486,0.5660455486542443,0.5666666666666667,0.5744824016563147,0.6016563146997931,0.6115424430641823,0.6277691511387163,0.6428053830227745,0.6718167701863355,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.6828157349896481,0.7608695652173914,0.782608695652174,0.8260869565217391,0.8478260869565217,0.8695652173913043,0.8695652173913043,0.8913043478260869,0.9130434782608695,0.9347826086956522,0.9347826086956522,0.9565217391304348,0.9782608695652174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.43744824016563144,0.4515269151138715,0.4622153209109729,0.47054865424430636,0.4874223602484471,0.506832298136646,0.5351190476190475,0.5568581780538301,0.5771480331262939,0.6195134575569358,0.6295548654244307,0.6479296066252589,0.6738095238095239,0.6832298136645963,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.6958850931677019,0.5869565217391305,0.6304347826086957,0.6956521739130435,0.7608695652173914,0.782608695652174,0.782608695652174,0.8260869565217391,0.8695652173913043,0.8913043478260869,0.9347826086956522,0.9347826086956522,0.9565217391304348,0.9565217391304348,0.9782608695652174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.4247619047619048,0.4439285714285714,0.4533035714285714,0.475327380952381,0.5086607142857142,0.5249107142857143,0.5332440476190474,0.5538392857142856,0.5645238095238094,0.5980952380952381,0.6401785714285715,0.6480357142857143,0.6655357142857142,0.6792857142857143,0.7063690476190476,0.7167857142857141,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.7318749999999999,0.625,0.65,0.675,0.675,0.7,0.725,0.75,0.775,0.8,0.85,0.85,0.875,0.875,0.925,0.95,0.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.5532349896480333,0.5719720496894412,0.6038561076604556,0.6295031055900623,0.6373706004140789,0.6535714285714287,0.6809006211180125,0.7037784679089029,0.7233954451345758,0.7335921325051761,0.7452639751552796,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7739906832298138,0.7391304347826086,0.7608695652173914,0.8043478260869565,0.8260869565217391,0.8478260869565217,0.8478260869565217,0.8695652173913043,0.8913043478260869,0.9347826086956522,0.9565217391304348,0.9782608695652174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.49349593495934935,0.4994773519163762,0.5112659698025551,0.5234610917537746,0.5356562137049942,0.5536004645760743,0.5686991869918698,0.5806039488966317,0.6074332171893146,0.6224738675958188,0.6639372822299651,0.7058652729384436,0.7444831591173054,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7487804878048779,0.7073170731707317,0.7317073170731707,0.7560975609756098,0.7804878048780488,0.8048780487804879,0.8292682926829268,0.8536585365853658,0.8536585365853658,0.8780487804878049,0.9024390243902439,0.926829268292683,0.9512195121951219,0.975609756097561,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.5976190476190476,0.6288156288156287,0.6605311355311354,0.6662393162393162,0.6628205128205128,0.7042735042735043,0.7243589743589746,0.7311965811965813,0.7651404151404153,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7913614163614167,0.7692307692307693,0.7948717948717948,0.8461538461538461,0.8461538461538461,0.8717948717948718,0.9230769230769231,0.9230769230769231,0.9487179487179487,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.502991452991453,0.5222222222222224,0.5303418803418805,0.5632478632478632,0.5952991452991453,0.6076923076923076,0.6213675213675214,0.6615384615384615,0.7017094017094018,0.717948717948718,0.7393162393162394,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.7722222222222224,0.6666666666666666,0.6923076923076923,0.717948717948718,0.7948717948717948,0.8461538461538461,0.8461538461538461,0.8717948717948718,0.8974358974358975,0.9230769230769231,0.9487179487179487,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.4898550724637681,0.5028985507246377,0.5113871635610766,0.5358695652173914,0.5589544513457557,0.583695652173913,0.624120082815735,0.629192546583851,0.668064182194617,0.7026915113871637,0.7233178053830229,0.7329192546583849,0.7472826086956522,0.7597826086956523,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.773343685300207,0.717391304347826,0.717391304347826,0.7391304347826086,0.7391304347826086,0.7608695652173914,0.8043478260869565,0.8478260869565217,0.8695652173913043,0.8913043478260869,0.9130434782608695,0.9347826086956522,0.9347826086956522,0.9565217391304348,0.9782608695652174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.5240740740740741,0.5467592592592593,0.5814814814814815,0.6236111111111111,0.6443783068783069,0.6560185185185186,0.6814814814814815,0.7022486772486772,0.7230820105820106,0.753373015873016,0.7698412698412699,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.7851190476190476,0.6388888888888888,0.7222222222222222,0.75,0.7777777777777778,0.8055555555555556,0.8333333333333334,0.8611111111111112,0.8888888888888888,0.9166666666666666,0.9444444444444444,0.9722222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.534438775510204,0.5475623582766439,0.571485260770975,0.6046485260770974,0.6177437641723357,0.6282312925170068,0.6421768707482994,0.6465419501133788,0.6714285714285715,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.7081632653061225,0.8095238095238095,0.8333333333333334,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.9285714285714286,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.43736263736263736,0.4795177045177046,0.4981074481074481,0.5270451770451771,0.539010989010989,0.5590964590964591,0.588034188034188,0.6125763125763126,0.6600122100122101,0.6984737484737485,0.71001221001221,0.7515873015873016,0.8037851037851039,0.8181929181929183,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.834004884004884,0.5897435897435898,0.6153846153846154,0.6666666666666666,0.717948717948718,0.7692307692307693,0.8205128205128205,0.8461538461538461,0.8717948717948718,0.8974358974358975,0.9230769230769231,0.9487179487179487,0.9743589743589743,0.9743589743589743,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.5314425770308123,0.566736694677871,0.5868347338935572,0.6049019607843136,0.6312324929971987,0.65,0.6820728291316528,0.7123949579831933,0.7050420168067227,0.7070028011204481,0.7300420168067228,0.7606442577030813,0.7748599439775911,0.7967787114845939,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.8129551820728294,0.5882352941176471,0.6764705882352942,0.7352941176470589,0.7647058823529411,0.7647058823529411,0.7941176470588235,0.8529411764705882,0.8235294117647058,0.8529411764705882,0.8529411764705882,0.8823529411764706,0.9117647058823529,0.9411764705882353,0.9705882352941176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
